"","translatedText","text"
"766","five measures transform crime punish rigor public officials enrich justification demonstrate origin gains modify electoral law transform crime box practice 2 create new species judicial action allow confiscation acquired assets illicit form verification alter legislation expedite trial processes involving deviation public resources create new structure from negotiation judicial power of greater agility efficiency investigations lawsuits filed against have privileged forum","cinco medidas transformar  crime  punir  rigor  agentes públicos  enriquecem  justificativa   demonstrem  origem   ganhos modificar  legislação eleitoral  transformar  crime  prática  caixa 2 criar  nova espécie  ação judicial  permita  confisco  bens adquiridos  forma ilícita   comprovação alterar  legislação  agilizar  julgamento  processos envolvendo  desvio  recursos públicos  criar  nova estrutura  partir  negociação   poder judiciário  dê maior agilidade  eficiência  investigações  processos movidos contra   têm foro privilegiado"
"767","Essence measures have the objective to guarantee processes fast judgments harsh punishments will never be able to attack broad right contradictory defense can never mean prior conviction defense innocent","essência  medidas têm  objetivo  garantir processos  julgamentos  rápidos  punições  duras  jamais poderão agredir  amplo direito  defesa   contraditório jamais poderão significar  condenação prévia  defesa  inocentes"
"768","proposing major national pact against corruption involves all spheres government all nuclei power both public environment private environment","propondo  grande pacto nacional contra  corrupção  envolve todas  esferas  governo  todos  núcleos  poder tanto  ambiente público   ambiente privado"
"769","Ladies and Gentlemen, I have made a diploma I would now like to mention petrobras company 86 thousand dedicated honest earners seriously lamentably some servers knew honor it being reached combat corruption","senhoras  senhores   fiz   diplomação quero agora  referir   petrobras  empresa  86 mil empregados dedicados honestos  sérios   lamentavelmente alguns servidores   souberam honrála sendo atingidos  combate  corrupção"
"770","Petrobras was going through a vigorous management improvement process","petrobras  vinha passando   vigoroso processo  aprimoramento  gestão"
"771","current reality makes reinforce determination petrobras efficient efficient structure governance control company brazil","realidade atual  faz reforçar  determinação  implantar  petrobras   eficiente  rigorosa estrutura  governança  controle   empresa    brasil"
"772","petrobras is capable of this","petrobras é capaz disso  capaz"
"773","has become bigger company world technical training prospecting deepwater oil","tornou  maior empresa  mundo  capacitação técnica   prospecção  petróleo  águas profundas"
"774","resulting in greater discovery of oil from this early century - presal deposits whose exploitation is reality will make Brazil's largest oil producer planet","daí resultou  maior descoberta  petróleo deste início  século –  jazidas  présal  cuja exploração   é realidade vai tornar  brasil   maiores produtores  petróleo  planeta"
"775","many reasons preserve defending petrobras internal enemy predators","muitos motivos  preservar  defender  petrobras  predadores internos    inimigos externos"
"776","Let's rush everything wrong wrong made it stronger every time","vamos apurar  rigor tudo  errado   feito  fortalecêla cada vez"
"777","we will mainly create mechanisms to prevent events from happening again","vamos principalmente criar mecanismos  evitem  fatos   possam voltar  ocorrer"
"778","healthy endeavor justice investigate punish must allow to recognize petrobras is strategic company brasil contracts investe country","saudável empenho  justiça  investigar  punir deve   permitir reconhecer   petrobras é  empresa  estratégica   brasil     contrata  investe  país"
"779","to know, to know, to punish, to weaken petrobras","assim  saber apurar  saber punir  enfraquecer  petrobras  diminuir   importância   presente    futuro"
"780","we can allow petrobras target fencing speculative interests contradicted adoption regime sharing policy national content sharing policy national content ensured people control over oil riches","podemos permitir   petrobras  alvo   cerco especulativo  interesses contrariados   adoção  regime  partilha   política  conteúdo nacional partilha  política  conteúdo nacional  asseguraram   povo  controle sobre  riquezas petrolíferas"
"781","petrobras is greater any capacity crises surpasses leaving strong","petrobras é maior   quaisquer crises     capacidade  superálas   sair  forte"
"782","dear brazilians dear brazilians always country development","queridos brasileiros  queridas brasileiras   brasil   sempre  país  desenvolvimento"
"783","destiny is being developed country fair is destiny building seeking every time effort all build","destino é ser  país desenvolvido  justo  é  destino   construindo  buscando cada vez    esforço  todos construir"
"784","nation all people same opportunities study work living conditions dignified city countryside","nação   todas  pessoas   mesmas oportunidades  estudar trabalhar viver  condições dignas  cidade   campo"
"785","country respects preservation environment where all people can have same rights freedom information opinion culture consumption dignity equality regardless race creed gender sexuality","país  respeita  preserva  meio ambiente  onde todas  pessoas podem ter  mesmos direitos  liberdade  informação   opinião  cultura  consumo  dignidade  igualdade independentemente  raça credo gênero  sexualidade"
"786","I will stubbornly dedicate all efforts lead brazil initiate new cycle historical changes opportunities prosperity cemented strengthening economic policy stable solid intolerant inflation light resume phase growth robust sustainable quality public services","dedicarei obstinadamente todos   esforços  levar  brasil  iniciar  novo ciclo histórico  mudanças  oportunidades   prosperidade alicerçado  fortalecimento   política econômica estável sólida intolerante   inflação    leve  retomar  fase  crescimento robusto  sustentável   qualidade  serviços públicos"
"787","I assume here commitment Brazil produces Brazil works","assumo aqui  compromisso   brasil  produz    brasil  trabalha"
"788","reaffirm respect confidence judicial power national congress parties representatives Brazilian people","reafirmo    respeito    confiança  poder judiciário  congresso nacional  partidos   representantes  povo brasileiro"
"789","reaffirm political political faith transforms better people","reafirmo  fé  política  política  transforma  melhor  vida  povo"
"790","I ask ladies ladies parliamentarians join hands favor brazil because majority changes people demands to be born here big house people","peço  senhores   senhoras parlamentares  juntemos  mãos  favor  brasil porque  maioria  mudanças   povo exige   nascer aqui  grande casa  povo"
"791","friends friends sometimes few close to death of these situations I get better strong person","amigos   amigas    algumas vezes  pouco perto  morte  destas situações saí  pessoa melhor   forte"
"792","exoposite regimen force provoked me pain left scars no revanchismo","exopositora   regime  força  provocou  mim dor   deixou cicatrizes    nenhum revanchismo"
"793","process never destroyed I dream live democratic country will fight build country ever better","processo jamais destruiu  mim  sonho  viver  país democrático   vontade  lutar   construir  país cada vez melhor"
"794","always thrilled to say survivor","sempre  emociono  dizer     sobrevivente"
"795","I faced illnesses, I mean, belonging to the winning generation.","enfrentei doenças    permitem quero dizer  pertenço   geração vencedora"
"796","generation saw possibility democracy horizon saw accomplish","geração  viu  possibilidade  democracia  horizonte  viu   realizar"
"797","two characteristics approach Brazilian people victorious survivor never abdicate dreams","duas características   aproximam  povo brasileiro     sobrevivente   vitorioso  jamais abdica   sonhos"
"798","fight them","luta  realizálos"
"799","God put chest full heart love homeland","deus colocou   peito  coração cheio  amor   pátria"
"800","before all music sang courageous heart is fear people nothing people control fear","antes  tudo    música cantava  coração valente  é   gente   medo  nada  gente controla  medo"
"801","heart triggers breast energy love dream above possibility build brazil developed","coração  dispara  peito   energia  amor  sonho  sobretudo   possibilidade  construir  brasil desenvolvido"
"802","fear proclaim let's overcome all difficulties because key to overcome all difficulties","medo  proclamar     vamos vencer todas  dificuldades porque   chave  vencêlas vencer todas  dificuldades"
"803","key can be summed up verse verse certain form taste prayer says next impossible makes miracles stand","chave pode ser resumida  verso   verso    certa forma sabor  oração  diz  seguinte  impossível  faz    milagres ficam"
"804","thanks","obrigada"
"805","live brazil live brazilian people","viva  brasil  viva  povo brasileiro"
"806","good night everyone assume presidency brazil after democratic decision transparent national congress","boa noite  todos  assumo  presidência  brasil após decisão democrática  transparente  congresso nacional"
"807","time is hope, confidence is taken back Brazil","momento é  esperança   retomada  confiança  brasil"
"808","uncertainty has come to an end","incerteza chegou  fim"
"809","it's time to join country putting national interests above interests groups","é hora  unir  país  colocar  interesses nacionais acima  interesses  grupos"
"810","and flag","é   bandeira"
"811","awareness size weight responsibility carry shoulders","consciência  tamanho   peso  responsabilidade  carrego  ombros"
"812","I say because we received serious plunged country economic crisis almost 12 million unemployed 170 billion deficit public accounts","digo  porque recebemos  país mergulhado   grave crise econômica  quase 12 milhões  desempregados    170 bilhões  déficit  contas públicas"
"813","commitment is to rescue strength economy relocate brazil rails","compromisso é   resgatar  força   economia  recolocar  brasil  trilhos"
"814","underbelief, emphasize, foundations, government, administrative efficiency, economic recovery, growth, employment, employment, legal security, expansion, social programs, pacification, country","sob  crença destaco  alicerces   governo eficiência administrativa retomada  crescimento econômico geração  emprego segurança jurídica ampliação  programas sociais   pacificação  país"
"815","government is family","governo é    família"
"816","indebtedness needs to decrease expenses pay off debts","endividada precisa diminuir despesas  pagar  dívidas"
"817","first steps impose limit on public expenditure","primeiras providências  impor limite   gastos públicos"
"818","we forward congress proposal constitutional amendment ceiling public expenditure","encaminhamos  congresso  proposta  emenda constitucional  teto   despesas públicas"
"819","motto is to spend only money arrecada","lema é gastar apenas  dinheiro   arrecada"
"820","We have reduced number of ministries","reduzimos  número  ministérios"
"821","demos","demos fim  milhares  cargos  confiança"
"822","decreasing government spending","diminuindo  gastos  governo"
"823","to guarantee payment pensions reform social security","garantir  pagamento  aposentadorias   reformar  previdência social"
"824","retirement few years government pay retirees","reforma  poucos anos  governo    pagar  aposentados"
"825","goal is to ensure system pensions paid day trumps tricks","objetivo é garantir  sistema  aposentadorias pagas  dia  calotes   truques"
"826","system protect seniors punish young","sistema  proteja  idosos  punir   jovens"
"827","way forward is challenging","caminho    frente é desafiador"
"828","comfort to know worse has passed","conforta  saber   pior  passou"
"829","economy indicators sign rescue trust country","indicadores  economia sinalizam  resgate  confiança  país"
"830","mission is to show businessmen investors everyone willing to provide good business will bring jobs brazil","missão é mostrar  empresários  investidores  todo  mundo  disposição  proporcionar bons negócios  vão trazer empregos  brasil"
"831","to guarantee investors political stability legal security","garantir  investidores estabilidade politica   segurança jurídica"
"832","modernize labor law ensure current generate new jobs","modernizar  legislação trabalhista  garantir  atuais  gerar novos empregos"
"833","Brazilian state needs to be agile","estado brasileiro precisa ser ágil"
"834","need to support worker rural producer entrepreneur","precisa apoiar  trabalhador  empreendedor   produtor rural"
"835","adopt measures to improve quality public services streamline structure","adotar medidas  melhorem  qualidade  serviços públicos  agilizem  estrutura"
"836","we have expanded social programs","ampliamos  programas sociais"
"837","we increase family value","aumentamos  valor  bolsa família"
"838","home revitalized life","casa  vida  revitalizado"
"839","still area housing doubling value financing middle class","ainda  área  habitação dobramos  valor  financiamento   classe média"
"840","we decided to finish 1500 federal works we found unfinished","decidimos concluir   mil  quinhentas obras federais  encontramos inacabadas"
"841","Brazil is an extraordinary country","brasil é  país extraordinário"
"842","we have abundant natural resources","possuímos recursos naturais  abundância"
"843","exuberant agribusiness knows crises","agronegócio exuberante   conhece crises"
"844","we work","trabalhamos"
"845","people willing to wake up early to sleep","pessoas dispostas  acordar cedo  dormir tarde  busca   sonho"
"846","enterprising spirit micro entrepreneurs large industrial","espírito empreendedor  micros empresários  grandes industriais"
"847","now we give world demonstration ability to do well done","agora  demos  mundo  demonstração   capacidade  fazer bem feito"
"848","Olympic games have rescued self-esteem from the world","jogos olímpicos resgataram  autoestima diante  mundo"
"849","billion people around planet witness applauded enthusiasm brazil organization promoted major major earth sport event","bilhões  pessoas  redor  planeta testemunharam  aplaudiram  organização  entusiasmo     brasil promoveu  maior   importante evento esportivo  terra"
"850","from now on","daqui  pouco  paraolimpíadas  certamente    sucesso"
"851","future","presente  futuro  desafiam"
"852","we can look past eyes past","podemos olhar  frente   olhos  passado"
"853","only concern honor honor is delivering successor country reconciled pacified rhythm growth","único interesse   encaro  questão  honra é entregar   sucessor  país reconciliado pacificado   ritmo  crescimento"
"854","country gives citizens pride","país  dá orgulho   cidadãos"
"855","I reaffirm commitment to democratically dialogue all sectors Brazilian society","reitero  compromisso  dialogar democraticamente  todos  setores  sociedade brasileira"
"856","I will respect independence","respeitarei   independência   poderes executivo legislativo  judiciário"
"857","goodbye remembering order progress always walk together","despeço lembrando  ordem  progresso sempre caminham juntos"
"858","Sure together we'll make Brazil better.","certeza   juntos vamos fazer  brasil  melhor"
"859","can believe brazil want brazil mute","podem acreditar    brasil quer  brasil muda"
"860","Thank you good night, everybody, bless you on this walk.","obrigado boa noite  todos   deus  abençoe nessa  caminhada"
